X,Y,Z
35.4988,-3.35594,133.85
44.1306,-5.53006,224.69
43.0933,-5.42584,222.537
43.7889,-5.46792,224.263
44.6074,-5.39836,221.41
39.3004,-3.75978,154.205
34.5439,-3.23178,132.549
47.8776,-4.35988,178.818
40.0924,-4.83374,200.143
33.568,-3.76592,155.929
42.6594,-4.99661,208.878
34.5061,-3.1479,132.874
38.0527,-4.17821,178.094
40.5088,-3.74589,159.667
37.2464,-3.27491,139.591
41.0537,-4.43481,190.905
33.4136,-3.8453,167.186
35.3304,-4.03338,175.363
43.4127,-4.89457,212.806
40.4878,-3.68048,160.02
33.0113,-3.75233,164.794
35.7221,-3.85666,169.375
41.2156,-4.56411,202.493
36.9673,-3.36352,149.227
37.7278,-4.02596,180.461
35.5016,-3.22711,147.702
50.8845,-4.44661,203.517
39.0855,-3.7449,173.226
41.7478,-3.83944,177.599
37.6071,-3.38861,158.433
44.231,-3.9586,185.083
42.2749,-4.42448,209.116
42.2897,-4.41598,208.714
39.0855,-3.58535,173.226
39.1339,-3.56795,172.386
44.665,-3.93272,190.009
44.2831,-3.81688,184.413
35.965,-3.59617,175.703
32.588,-3.26962,161.567
34.1258,-2.82452,139.572
41.9188,-3.41806,168.901
44.7114,-3.33358,164.727
35.6184,-3.51696,175.789
43.1537,-4.20842,210.35
44.5933,-4.32938,216.396
36.0587,-3.48777,176.359
33.7054,-2.79978,144.947
37.0556,-3.383,179.418
35.8008,-2.89149,153.351
40.3453,-3.63294,202.569
33.4271,-2.94865,164.414
40.8392,-3.77864,213.433
43.901,-3.79209,219.913
44.4852,-3.28397,193.023
43.7812,-3.493,217.061
36.6805,-2.55103,158.525
38.863,-2.71778,190.719
46.8578,-2.82911,205.162
42.0368,-3.14382,235.861
41.0053,-1.95895,149.551
37.4038,-2.29054,184.601
45.1225,-1.64969,159.611
44.0637,-1.77347,188.373
36.8948,-1.66834,186.32
36.5793,-1.48912,185.373
41.2494,-1.64659,204.976
38.9151,-1.44454,190.759
39.7657,-1.43826,202.229
31.7048,-1.18296,171.897
35.3211,-0.297256,130.574
39.3385,-0.0918955,138.251
42.0599,-0.0987003,227.19
36.5287,-0.0564565,129.953
36.4526,-0.0263916,129.259
36.7315,0.0938302,130.888
45.441,0.11439,159.569
50.8533,0.665799,317.282
50.9166,0.878508,314.964
31.0651,0.577774,191.348
41.7055,0.899073,258.353
36.6134,0.617569,127.03
48.3368,0.823041,161.639
40.8361,0.817984,141.455
40.2396,0.851019,141.532
38.6665,0.874014,135.016
38.9265,0.902488,134.626
40.0208,0.978417,141.105
36.2254,1.70556,230.653
39.4823,1.00729,136.222
46.2624,1.21993,159.996
36.1814,1.87085,231.39
30.1627,1.55051,191.77
43.7414,2.1877,270.579
38.7749,1.1295,135.831
38.5304,2.09172,238.345
41.0075,2.48459,256.22
46.484,2.76864,285.512
30.1763,1.94739,187.468
34.4379,2.39133,225.211
41.9639,1.44552,136.137
41.1188,2.82194,254.718
41.1485,3.20083,271.961
50.6353,4.26649,336.196
38.56,3.16207,249.168
42.0683,3.58704,277.618
29.5216,2.32644,180.054
35.8042,2.97656,218.679
31.9173,2.74853,198.567
32.7503,2.87955,204.629
29.0468,2.8243,194.342
29.9548,2.89919,199.496
29.9915,2.89388,199.13
33.6991,3.08657,212.389
40.7661,3.96133,264.21
35.5634,3.34116,222.846
40.726,4.00032,262.774
37.9256,3.6992,239.374
39.0184,4.10075,261.462
39.8954,4.16083,265.293
40.5257,4.22398,265.423
40.6629,4.47623,269.572
38.816,2.41534,126.208
45.9242,2.91769,148.874
37.8269,2.46155,122.716
40.4588,5.61506,273.646
39.9602,5.84942,272.821
40.2822,5.85972,273.302
47.9772,3.65967,155.645
35.1837,5.04411,195.391
45.0841,6.43889,245.048
43.1734,7.02177,234.37
42.6018,7.05332,230.117
40.8551,6.79974,195.419
40.284,9.94988,275.031
35.331,8.90717,241.596
42.6764,10.7637,192.279
34.1789,7.72562,136.325
40.2604,12.4045,204.745
44.6461,11.2208,183.811
38.7276,12.6125,196.95
38.9213,10.2211,159.036
36.8142,10.5643,153.899
40.9603,12.8719,133.379
44.9625,14.3656,146.412
42.882,14.2153,139.637
42.1452,14.1607,137.238
39.2219,25.7147,247.555
36.8338,12.5141,119.942
43.1259,15.0076,140.431
29.7387,20.2459,187.429
32.0827,23.402,213.015
42.8865,15.3951,139.547
45.4185,16.8056,148.007
36.8887,13.8328,120.121
38.3986,14.5141,125.038
40.7407,-14.6691,156.493
31.1322,-14.3625,161.807
31.9204,-11.2531,164.722
44.1246,-11.362,166.316
31.5336,-11.154,164.602
43.7229,-11.1675,164.802
44.1568,-11.2083,165.404
44.1727,-11.1321,164.952
31.6745,-11.0329,164.154
43.7551,-10.9478,163.561
44.1992,-10.9909,164.204
43.7551,-10.8123,163.561
37.3819,-9.17111,138.735
36.0541,-8.79845,134.22
34.0444,-11.6674,178.739
33.7659,-11.4574,177.02
36.4171,-8.65526,134.878
33.4931,-11.1707,175.59
43.9961,-14.3551,230.653
43.1663,-9.74351,159.386
35.8938,-7.55265,132.533
36.5659,-7.68024,135.429
46.4087,-13.2504,241.9
36.0799,-7.05488,132.814
31.6171,-8.56802,163.857
44.3074,-8.53712,163.266
39.442,-7.58263,145.783
31.5504,-8.50827,164.453
39.4335,-7.38717,145.9
39.459,-7.2487,145.549
43.2136,-8.09223,163.392
39.4473,-7.22106,145.802
39.4642,-7.04856,145.568
38.0641,-6.90745,143.473
43.4043,-10.9241,228.211
42.3864,-7.8436,163.857
32.7973,-7.78846,163.65
42.2087,-7.6714,162.132
44.4409,-7.90932,167.16
39.9839,-6.99261,147.786
43.5103,-10.06,213.864
48.1811,-8.83699,187.863
34.6681,-8.52388,182.278
40.1351,-9.45617,202.214
35.8542,-6.30004,134.722
39.9921,-6.90531,147.665
32.8572,-7.48735,161.064
42.9736,-9.68773,208.397
45.1508,-8.282,178.158
45.1335,-8.22505,176.933
45.6511,-8.24794,177.425
49.6271,-11.6028,251.086
45.1192,-8.2002,177.453
50.8486,-9.17176,198.478
44.0811,-7.74244,167.547
39.6054,-9.52372,207.334
33.6114,-7.61973,165.883
40.9593,-9.17299,199.698
42.0674,-7.48602,162.972
42.9077,-9.475,207.521
37.5673,-8.15414,178.592
35.719,-6.50598,142.494
42.0244,-7.48139,163.857
34.9192,-5.90495,129.33
32.7806,-7.46406,164.473
35.1235,-7.96443,175.499
41.1324,-7.06527,155.686
35.8311,-6.05966,133.527
35.3702,-8.03807,178.207
41.042,-6.85641,152.946
46.5354,-7.74224,172.706
32.8128,-7.28446,163.502
42.912,-8.9478,200.836
33.3154,-7.28005,164.423
41.5645,-8.74876,197.594
48.1492,-8.4212,190.196
41.9616,-9.20549,210.538
43.9409,-7.49927,171.515
38.4881,-6.34964,145.222
32.7484,-7.11918,163.857
40.8732,-8.8366,203.386
33.4999,-7.13468,164.214
40.3713,-7.00507,161.231
45.0282,-7.53876,173.514
35.8419,-6.02673,139.601
37.9677,-8.08183,188.41
38.4266,-6.58283,153.465
38.4644,-6.4471,150.3
42.7993,-7.11991,165.985
42.6326,-7.0096,163.414
34.1318,-7.4115,173.903
41.5441,-7.05548,165.55
39.9784,-8.40019,198.388
33.5777,-6.9318,163.709
37.9865,-7.02818,165.985
41.7797,-7.01091,165.578
42.9247,-7.12507,168.274
36.9171,-6.13438,145.828
35.9577,-7.0601,168.944
43.241,-7.6468,182.984
50.5134,-8.11712,194.238
32.5221,-6.80225,163.857
33.3166,-6.77059,163.095
41.4638,-8.1084,195.321
40.9098,-7.91766,190.726
44.6865,-8.99642,218.164
41.6475,-8.03784,194.919
42.3785,-6.77741,164.353
42.5492,-8.73242,213.191
42.3937,-8.06952,199.701
34.6037,-6.4099,161.952
38.5331,-6.27062,158.433
35.4286,-6.03434,154.622
33.8155,-6.17259,159.292
36.9961,-6.72692,173.598
43.9569,-8.56845,222.709
42.4272,-6.56248,170.57
38.2188,-6.83601,180.269
37.6693,-5.74925,151.611
39.7411,-5.74008,151.369
42.9998,-6.00448,163.095
42.5242,-5.94959,162.826
32.303,-5.91843,163.207
47.4802,-7.90493,219.661
42.4275,-5.86488,162.972
32.4341,-5.8356,163.414
32.4593,-5.81587,162.861
42.8775,-5.81985,162.972
50.4257,-8.31957,234.788
43.3095,-5.70014,163.414
50.9591,-7.27542,210.24
35.2876,-4.83422,139.696
44.2978,-6.04215,174.602
46.1865,-7.99961,233.028
43.4625,-7.50688,218.674
37.1726,-5.41909,157.857
42.6975,-5.59469,162.972
39.8109,-5.38445,158.121
39.3234,-5.28951,155.333
41.7666,-5.57558,163.734
45.4804,-6.05169,177.715
33.0609,-5.5187,163.389
36.0162,-5.85228,173.265
42.2883,-6.1014,180.641
40.0905,-5.17397,153.183
41.9344,-5.34428,158.225
38.1859,-5.84355,174.434
39.525,-5.13512,153.287
32.1159,-5.43648,163.632
47.7865,-7.10893,213.971
35.3495,-4.87311,146.675
35.4539,-5.97683,181.405
48.3473,-6.97725,211.769
38.2132,-5.20024,157.834
40.5764,-5.39868,163.857
34.178,-5.63382,172.44
38.6897,-4.81457,147.365
38.2976,-5.85183,180.641
35.0794,-5.25738,162.291
34.9391,-4.69099,144.807
44.6789,-5.53029,170.715
38.2742,-5.81352,181.002
39.6261,-5.48193,170.678
42.2156,-5.20278,161.987
31.9955,-5.09764,160.091
38.5989,-5.07074,159.246
42.2017,-5.16726,162.277
40.1465,-4.86909,152.913
38.2389,-5.73068,181.547
35.6554,-5.17392,163.909
42.9212,-5.13882,162.797
32.4534,-5.05987,161.711
40.7049,-5.97136,194.273
35.1004,-4.9913,162.388
42.5153,-6.56617,217.536
38.9651,-5.83644,193.36
41.9365,-4.7682,160.916
38.0279,-4.23856,144.388
46.9911,-7.04142,242.147
38.771,-4.26729,146.748
41.0202,-5.4805,201.898
33.0286,-4.30538,161.904
46.3315,-6.08498,238.749
46.346,-6.06101,237.808
44.5665,-5.74686,225.482
38.3212,-4.84062,192.007
40.192,-5.01448,198.903
44.4598,-4.22919,167.754
43.4517,-5.45133,221.077
45.3034,-5.70817,234.117
33.2677,-4.1561,170.46
43.0474,-5.20836,213.618
40.8653,-3.91019,160.374
34.0292,-4.09867,170.031
34.8103,-3.90201,161.873
33.0089,-3.85572,161.807
35.6178,-3.27058,137.252
